load_module_offset,cs_offset,proposed_name,subsystem,confidence,evidence
0x4646,0x1B96,xor_ship_sprite,rendering,medium-high,"Selects ship frame from angle and toggles it in framebuffer"
0x4671,0x1BC1,xor_projectile_sprite,rendering,medium-high,"Selects projectile frame and toggles it in framebuffer"
0x46DD,0x1C2D,draw_character,rendering,high,"Handles control bytes and draws an 8-row font glyph from DS:22A0"
0x4732,0x1C82,draw_inline_text,rendering,high,"Pops return address, consumes inline bytes until NUL, then resumes after embedded text"
0x4744,0x1C94,draw_unsigned_decimal,rendering,high,"Recursively emits decimal digits through character renderer"
0x4767,0x1CB7,xor_star,rendering,high,"Selects a star glyph and XOR-renders it at indexed position"
0x4783,0x1CD3,clear_cga_framebuffer,rendering,high,"Zeros 0x4000 bytes at configured video segment"
0x4792,0x1CE2,xor_planet,rendering,high,"Selects one of sixteen planet frames and writes 32 CGA scanlines"
0x4950,0x1EA0,build_cga_scanline_table,platform,high,"Builds 200 offsets for CGA's alternating 0x2000-byte scanline banks"
0x496C,0x1EBC,save_interrupt_vectors,platform,high,"Copies interrupt vectors 8 and 9 from the IVT into program data"
0x4992,0x1EE2,restore_interrupts_and_pit,platform,high,"Restores vectors 8 and 9 and resets PIT channel 0 to the BIOS rate"
0x49C4,0x1F14,install_game_timer_isr,interrupts,high,"Writes CS:233D into interrupt vector 8"
0x49D9,0x1F29,initialize_game_and_screen,state,high,"Copies game-state template, clears screen, draws stars and status elements, and resets sound state"
0x4A0C,0x1F5C,set_cga_mode_6,platform,high,"Calls BIOS video interrupt with mode 6"
0x4A20,0x1F70,initialize_keyboard_state,input,high,"Fills 128 scan-code state bytes with released value 0x80"
0x4A30,0x1F80,keyboard_isr,input,high,"Records make/break scan codes, acknowledges controller and PIC, and handles Ctrl-Alt-Delete reset"
0x4DED,0x233D,game_timer_isr,gameplay,high,"Central fixed-tick update for time, motion, entities, energy, cooldowns, hyperspace, planet/gravity, and sound"
0x5260,0x27B0,lookup_angle_x,math,medium-high,"Offsets angle by a quarter turn before shared signed lookup"
0x5263,0x27B3,lookup_angle_y,math,medium-high,"Indexes signed trigonometric component table at DS:2050"
0x5270,0x27C0,update_pc_speaker,audio,high,"Selects sound event and programs PIT channel 2 and speaker gate"
0x5364,0x28B4,silence_pc_speaker,audio,high,"Clears sound state and disables speaker gate bits"
0x5380,0x28D0,random_x_coordinate,math,high,"Rejects random values outside playable horizontal range"
0x5391,0x28E1,random_y_coordinate,math,high,"Rejects random values outside playable vertical range"
0x53A2,0x28F2,next_random,math,high,"Updates a five-byte additive/carry state and returns a 16-bit value"
0x53C6,0x2916,seed_random_from_bios_clock,math,high,"Seeds random state from BIOS tick counter"
0x53E2,0x2932,draw_random_starfield,rendering,high,"Draws 512 randomly positioned pixels"
0x5400,0x2950,spawn_left_projectile,gameplay,high,"Allocates and initializes a left-side projectile from ship angle position and velocity"
0x54BF,0x2A0F,spawn_right_projectile,gameplay,high,"Mirrors projectile creation for right-side slots"
